,memberID,b_g,total_hits
0,4,1053 0,0.344595716
1,4,115 0,0.675074836
2,4,1171 0,0.203402785
3,4,1214 0,2.883624679
4,4,1214 1,24.92985599
5,4,1306 0,1
6,4,1322 1,0.101701392
7,4,1392 0,0.291899168
8,4,1490 0,0.064866482
9,4,1513 0,0.203402785
10,4,1565 0,0.360184624
11,4,158 0,4
12,4,1597 0,0.508506962
13,4,1666 0,0.843264263
14,4,1667 2,0.032433241
15,4,1710 2,1
16,4,191 0,0.180092312
17,4,2191 2,0.324332409
18,4,2261 2,0.508506962
19,4,2271 2,1.694154366
20,4,256 0,0.114865239
21,4,258 0,0.287163096
22,4,2581 2,1.129436244
23,4,266 0,0.394970037
24,4,2701 2,1.918865196
25,4,285 0,0.08986586
26,4,406 0,0.305104177
27,4,424 0,0.064866482
28,4,425 0,0.032433241
29,4,460 0,0.720369249
30,4,480 0,0.101701392
31,4,485 0,3.962030867
32,4,555 0,0.057432619
33,4,59 0,0.154732342
34,4,618 0,0.27399925
35,4,662 0,0.551365095
36,4,7 0,0.101701392
37,4,819 0,12.61154671
38,4,836 0,0.976416201
39,4,847 0,0.032433241
40,4,851 0,0.101701392
41,4,864 2,1
42,4,876 0,0.229730477
43,4,883 0,0.162166204
44,4,992 0,0.032433241
45,48,383 0,0.032433241
46,100,1246 1,0.597151363
47,100,1338 1,0.324332409
48,100,1352 1,0.057432619
49,100,238 1,0.032433241
50,100,267 1,3.388308732
51,100,277 1,0.032433241
52,100,285 1,0.670673166
53,100,386 1,0.17973172
54,100,396 1,0.032433241
55,100,411 1,6.064866482
56,100,7 1,1.927065699
57,100,716 1,0.287163096
58,100,881 1,0.032433241
59,151,1109 1,47.05743262
60,151,1110 1,2.579552742
61,151,1169 1,3.323353895
62,151,1176 1,2
63,151,1214 1,61.68033412
64,151,1252 1,2
65,151,130 1,0.180092312
66,151,1313 1,2
67,151,1326 1,3.237524931
68,151,1366 1,1.129436244
69,151,1372 1,1.594532787
70,151,142 1,0.564718122
71,151,1429 1,1
72,151,1464 1,0.294957551
73,151,1485 1,0.180092312
74,151,15 1,0.101701392
75,151,1547 1,0.318906557
76,151,1566 1,0.956719672
77,151,350 1,8.67508666
78,151,354 1,0.057432619
79,151,375 1,0.057432619
80,151,420 1,0.180092312
81,151,427 1,0.180092312
82,151,452 1,0.597151363
83,151,505 1,1
84,151,626 1,1
85,151,712 1,0.057432619
86,151,764 1,1
87,151,786 1,0.101701392
88,151,811 1,1
89,151,997 1,0.540276936
90,153,764 1,0.032433241
91,153,836 1,0.324332409
92,206,1109 1,0.564718122
93,206,1120 1,1
94,206,1136 1,6.013060923
95,206,1317 1,0.564718122
96,206,133 1,0.564718122
97,206,137 1,0.318906557
98,206,142 1,0.318906557
99,206,15 1,0.101701392
100,206,172 1,0.318906557
101,206,2 1,0.318906557
102,206,238 1,5.836651533
103,206,258 1,0.318906557
104,206,267 1,0.564718122
105,206,271 1,1
106,206,353 1,0.318906557
107,206,356 1,0.318906557
108,206,365 1,1.694154366
109,206,383 1,0.883624679
110,206,385 1,1.883624679
111,206,425 1,0.564718122
112,206,485 1,0.318906557
113,206,786 1,0.318906557
114,206,796 1,0.564718122
115,206,851 1,0.101701392
116,206,914 1,0.318906557
117,327,133 1,0.203402785
118,327,388 2,0.564718122
119,327,394 1,0.101701392
120,327,763 1,0.915312531
121,327,866 1,2.258872488
122,327,936 1,0.203402785
123,353,1291 0,0.180092312
124,353,1449 0,0.180092312
125,353,194 0,0.180092312
126,353,266 0,0.180092312
127,353,290 0,0.180092312
128,353,345 0,1.774625099
129,353,349 0,0.360184624
130,353,480 0,1.981015434
131,353,485 0,3.601846243
132,353,504 0,8.591834938
133,353,566 0,0.180092312
134,411,1136 1,5.102504917
135,435,1095 1,1.101701392
136,435,1120 1,3
137,435,115 1,1
138,435,119 1,0.101701392
139,435,1377 1,0.064866482
140,435,1464 1,0.057432619
141,435,147 1,1
142,435,1501 1,2
143,435,1505 1,0.101701392
144,435,1559 1,0.203402785
145,435,195 1,2.057432619
146,435,2 1,1
147,435,2241 1,0.305104177
148,435,2271 2,0.318906557
149,435,238 1,1
150,435,256 1,1.305104177
151,435,267 1,1.203402785
152,435,349 1,2.260835404
153,435,365 1,4.305104177
154,435,388 1,0.305104177
155,435,394 1,1
156,435,411 1,0.101701392
157,435,460 1,7.043341616
158,435,485 1,1.406805569
159,435,486 1,0.101701392
160,435,618 1,0.101701392
161,435,626 1,0.101701392
162,435,635 1,1
163,435,700 1,2
164,435,716 1,0.159134012
165,435,717 1,1.203402785
166,435,744 1,0.203402785
167,435,796 1,0.101701392
168,435,824 1,0.419969415
169,435,836 1,2.057432619
170,437,1091 0,1
171,437,1141 0,1
172,437,1171 0,5
173,437,133 0,3.82359061
174,437,1384 0,2
175,437,1493 0,1
176,437,1513 0,1
177,437,1611 0,1
178,437,172 0,5
179,437,192 0,22.58872488
180,437,238 0,0.180092312
181,437,25 0,5
182,437,251 0,3.826878688
183,437,261 0,15
184,437,294 0,1
185,437,295 0,1
186,437,345 0,0.564718122
187,437,349 0,7
188,437,365 0,1
189,437,383 0,4.568401044
190,437,407 0,1
191,437,409 1,0.180092312
192,437,529 0,1
193,437,566 0,1.129436244
194,437,626 0,2.564718122
195,437,667 0,1
196,437,692 0,2
197,437,718 0,22.03548995
198,437,718 1,0.637813115
199,437,737 0,3
200,437,775 0,10.64718122
201,437,883 0,3
202,459,285 0,0.180092312
203,459,349 0,0.180092312
204,459,425 0,2.161107746
205,459,460 0,0.180092312
206,459,80 0,0.180092312
207,459,819 0,0.180092312
208,506,935 1,0.324332409
209,520,388 1,0.057432619
210,520,866 1,3
211,525,1189 1,2.82359061
212,525,1314 0,2.129436244
213,525,1370 1,1.129436244
214,525,1512 0,3.596190572
215,525,1529 1,1.694154366
216,525,1533 1,2.856023851
217,525,1569 1,0.564718122
218,525,207 1,0.564718122
219,525,256 1,0.032433241
220,525,261 1,1.694154366
221,525,266 0,5.64718122
222,525,383 1,2.82359061
223,525,388 1,0.564718122
224,525,396 0,16
225,525,429 1,0.032433241
226,525,452 0,0.318906557
227,525,452 1,7.341335586
228,525,460 1,0.318906557
229,525,486 1,6.776617464
230,525,555 1,1.129436244
231,525,566 1,0.032433241
232,525,626 0,0.032433241
233,525,665 0,1
234,525,956 0,0.101701392
235,525,984 0,1.216185599
236,585,866 1,0.032433241
237,725,626 1,0.180092312
238,725,924 1,1.800923121
239,725,970 1,0.540276936
240,735,103 1,0.101701392
241,735,1043 1,0.101701392
242,735,1111 1,0.032433241
243,735,1125 1,8.34900311
244,735,115 1,10.85368716
245,735,1167 1,3.189065573
246,735,119 1,0.101701392
247,735,1224 1,0.318906557
248,735,1225 1,0.956719672
249,735,1297 1,0.101701392
250,735,1313 1,0.318906557
251,735,1317 1,0.318906557
252,735,133 1,6.910752097
253,735,1390 1,0.101701392
254,735,1451 1,0.101701392
255,735,1533 1,0.564718122
256,735,1557 1,0.564718122
257,735,1578 1,0.564718122
258,735,172 1,0.134134633
259,735,18 1,0.564718122
260,735,2 1,1.217555076
261,735,236 1,0.101701392
262,735,259 1,18.12817048
263,735,260 1,0.162166204
264,735,267 1,1.202531237
265,735,285 1,0.318906557
266,735,365 1,0.620633247
267,735,383 1,1.462423974
268,735,386 1,0.101701392
269,735,388 1,2.606588022
270,735,394 1,0.318906557
271,735,396 1,125.3526035
272,735,409 1,1.275626229
273,735,421 1,0.101701392
274,735,460 1,3.323200206
275,735,491 1,3.388308732
276,735,496 1,4.836651533
277,735,510 1,0.318906557
278,735,59 1,4.313849569
279,735,618 1,1.75652843
280,735,626 1,0.101701392
281,735,649 1,0.318906557
282,735,667 1,0.318906557
283,735,700 1,5.152005669
284,735,701 1,5.64718122
285,735,732 1,0.318906557
286,735,764 1,11.54091907
287,735,796 1,2.751098289
288,735,82 1,0.666419514
289,735,836 1,6.90269641
290,735,865 1,0.564718122
291,735,866 1,19.56707727
292,735,877 1,0.318906557
293,735,88 1,0.883624679
294,735,914 1,0.324332409
295,735,92 1,0.203402785
296,735,939 1,7.743164657
297,735,993 1,0.057432619
298,819,626 0,0.180092312
299,819,626 1,0.180092312
300,890,1011 0,0.318906557
